Altium Designer Pick and Place Locations
C:\Y.B\Altium Designer Depo\Hedef Proje\HedefProje\Project Outputs for Free Documents\Pick Place\Pick Place for HedefProjem.txt

========================================================================================================================
File Design Information:

Date:       21.11.21
Time:       10:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                   
R99        RC0603JR-070RL          TopLayer RES_0603                      3956.000      2508.000      0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                             
J8         64800611622             TopLayer 64800611622                   3030.000      2559.417      90       "1.50mm 6PIN Connector"                                                                                                                       
U6         "ESP32-WROOM-32U (8MB)" TopLayer ESP32_32U                     2476.378      1060.730      0        "SMD Module, ESP32-D0WD, 64MBITS Spi Flash, Uart Mode, U.fl Antenna Connector"                                                                
J1         PJ-037AH-SMT-TR         TopLayer PJ-037AH-SMT-TR               1850.118      393.976       270      "DC Power Connectors Power Jacks"                                                                                                             
C26        ALA7DF471CF450          TopLayer CAP_0603                      2056.000      1572.000      0        "CAP CER 100nF %10 0603 SMD"                                                                                                                  
Y1         ECS-160-20-30B-TR       TopLayer SMD5032                       1422.000      1992.000      0        "CRYSTAL 16.0000MHZ 20PF SMD"                                                                                                                 
X1         ABS05-32.768KHZ-T       TopLayer ABS05                         1442.000      2269.000      0        "ABRACON - ABS05-32.768KHZ-T - Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"                                          
U8         NCS36000DRG             TopLayer SOIC14                        3751.908      2440.301      180      "Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"                                                                                    
U7         OPA314AIDBVR            TopLayer SOT23-5                       3168.276      2280.599      90       "Op Amp"                                                                                                                                      
U5         M41T0M6F                TopLayer SOIC8                         1275.591      2318.898      90       "Real Time Clock Serial 8Byte 8-Pin SO N T/R"                                                                                                 
U4         STM32L151C8T6A          TopLayer LQFP48                        1945.858      2287.307      0        "IC MCU 32BIT 64KB FLASH 48LQFP"                                                                                                              
U3         MAX6662MSA+T            TopLayer SOIC8                         2164.000      2670.000      0        "Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N T/R"                                                                                   
U2         LM2675MX-12/NOPB        TopLayer SOIC8                         1696.850      742.126       180      "Switching Voltage Regulators Pwr Cnvtr Hi Eff 1A SD Vtg Reg"                                                                                 
U1         AP7361-33E-13           TopLayer SOT223                        1797.244      1043.307      90       "LDO Regulator Pos 3.3V 1A 4-Pin(3+Tab) SOT-223 T/R"                                                                                          
TVS1       USBLC6-2SC6             TopLayer SOT23-6L                      1529.000      2485.724      0        "TVS DIODE 5.25V 17V SOT23-6"                                                                                                                 
T1         BV302S12010-ZU          TopLayer BV302S                        1023.622      1259.842      270      "230V- 12V Transformer 1VA"                                                                                                                   
SW1        EG1215AA                TopLayer EG1215AA                      2565.627      2754.320      0        "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                                                                        
S1         "LHI 878/3902"          TopLayer LHI_878/3902_-_PYD_1388_/_708 3334.740      2505.419      0        "PYD 1388 / 7083 SENSOR PYRO DETECTOR DUAL MOTION"                                                                                            
RT1        TFPT1206L1002FM         TopLayer RES_1206                      3139.703      2715.892      180      "Thermistor PTC 10K Ohm 1% 2-Pin 1206 Surface Mount Solder Pad T/R Automotive"                                                                
RL2        ALQ1F05                 TopLayer ALQ1F05                       704.724       2157.480      180      "General Purpose Relay SPDT (1 Form C) 5VDC Coil Through Hole"                                                                                
RL1        ALQ1F05                 TopLayer ALQ1F05                       704.331       2614.567      180      "General Purpose Relay SPDT (1 Form C) 5VDC Coil Through Hole"                                                                                
R37        RC0603JR-07100RL        TopLayer RES_0603                      3214.506      2763.136      0        "Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"                                                                   
R36        RC0603FR-101KL          TopLayer RES_0603                      3330.648      2725.734      270      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                                                             
R35        RC0603JR-070RL          TopLayer RES_0603                      3768.000      2218.000      0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                             
R34        RC0603FR-101KL          TopLayer RES_0603                      3593.928      2178.386      270      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                                                             
R33        RC0603JR-07220KL        TopLayer RES_0603                      3872.000      2218.000      180      "YAGEO - RC0603JR-07220KL - Resistencia SMD de Tipo Chip, 0603 [Métrica 1608], 220 kohm, RC Series, 75 V, Película Gruesa"                    
R32        RC0603JR-070RL          TopLayer RES_0603                      3702.000      2244.000      0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                             
R31        RC0603JR-07220KL        TopLayer RES_0603                      3281.183      2215.892      0        "YAGEO - RC0603JR-07220KL - Resistencia SMD de Tipo Chip, 0603 [Métrica 1608], 220 kohm, RC Series, 75 V, Película Gruesa"                    
